I, [2015-07-15T17:18:02.257706 #4880]  INFO -- : TestModule01_loginStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:19:19.251110 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:19:20.862202 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:19:22.354288 #4880]  INFO -- : 查找Function...
I, [2015-07-15T17:19:29.617703 #4880]  INFO -- : <<===验证结果:true,Function info right,,
I, [2015-07-15T17:19:30.381747 #4880]  INFO -- : 


I, [2015-07-15T17:19:30.381747 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:19:30.381747 #4880]  INFO -- : test02_002-delete Function test
I, [2015-07-15T17:19:31.061786 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:19:32.709880 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:19:33.999954 #4880]  INFO -- : 查找Function...
I, [2015-07-15T17:19:37.102131 #4880]  INFO -- : 删除Function...
I, [2015-07-15T17:19:39.103246 #4880]  INFO -- : ===>>开始验证删除Function信息：
I, [2015-07-15T17:19:39.841288 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:19:41.434379 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:19:42.741454 #4880]  INFO -- : 查找Function...
I, [2015-07-15T17:19:46.040643 #4880]  INFO -- : <<===验证结果:true,delete successfully,,
I, [2015-07-15T17:19:46.875690 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:19:52.102989 #4880]  INFO -- : TestModule02_functionOver<<<<<<<<<<<<<<<<<<<
I, [2015-07-15T17:19:52.103989 #4880]  INFO -- : TestModule03_organizationStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:19:52.641020 #4880]  INFO -- : 打开已有ExcelReport...
I, [2015-07-15T17:19:52.641020 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:19:56.899264 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:19:58.219339 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:19:59.573417 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:20:00.723482 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:20:04.375691 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:20:04.375691 #4880]  INFO -- : 


I, [2015-07-15T17:20:04.375691 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:20:04.376691 #4880]  INFO -- : Test03_001:Organization add
I, [2015-07-15T17:20:04.376691 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:05.665765 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:20:07.865891 #4880]  INFO -- : 输入新加Organization信息...
I, [2015-07-15T17:20:16.764400 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:18.306488 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:20:19.607562 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:20:22.595733 #4880]  INFO -- : ===>>开始验证Organization信息：
I, [2015-07-15T17:20:25.061874 #4880]  INFO -- : <<===验证结果:true,Add successful,,
I, [2015-07-15T17:20:25.846919 #4880]  INFO -- : 


I, [2015-07-15T17:20:25.846919 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:20:25.846919 #4880]  INFO -- : Test03_003:Organization edit
I, [2015-07-15T17:20:26.567961 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:28.034044 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:20:29.321118 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:20:32.246285 #4880]  INFO -- : 输入编辑的Organization信息...
I, [2015-07-15T17:20:40.473756 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:41.996843 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:20:43.506929 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:20:46.524102 #4880]  INFO -- : ===>>开始验证Organization信息：
I, [2015-07-15T17:20:48.976242 #4880]  INFO -- : <<===验证结果:true,Add successful,,
I, [2015-07-15T17:20:49.673282 #4880]  INFO -- : 


I, [2015-07-15T17:20:49.673282 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:20:49.673282 #4880]  INFO -- : Test03_004:Organization enable
I, [2015-07-15T17:20:49.673282 #4880]  INFO -- : enable Organization...
I, [2015-07-15T17:20:50.336320 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:51.805404 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:20:53.320491 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:20:57.532732 #4880]  INFO -- : ===>>开始验证启用的Organization：
I, [2015-07-15T17:20:58.282775 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:20:59.768860 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:01.243944 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:21:03.918097 #4880]  INFO -- : <<===验证结果:true,enable text right,,
I, [2015-07-15T17:21:04.594136 #4880]  INFO -- : 


I, [2015-07-15T17:21:04.594136 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:21:04.594136 #4880]  INFO -- : Test03_005:Organization disable
I, [2015-07-15T17:21:04.594136 #4880]  INFO -- : disable Organization...
I, [2015-07-15T17:21:05.278175 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:21:06.796261 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:08.107336 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:21:12.323578 #4880]  INFO -- : ===>>开始验证未启用的Organization：
I, [2015-07-15T17:21:12.985615 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:21:14.456700 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:15.755774 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:21:18.497931 #4880]  INFO -- : <<===验证结果:true,Disable text right,,
I, [2015-07-15T17:21:19.249974 #4880]  INFO -- : 


I, [2015-07-15T17:21:19.249974 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:21:19.249974 #4880]  INFO -- : Test03_002:Organization delete
I, [2015-07-15T17:21:19.986016 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:21:21.442099 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:22.934185 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:21:24.996302 #4880]  INFO -- : 删除Organization信息...
I, [2015-07-15T17:21:28.042477 #4880]  INFO -- : ===>>开始验证删除Organization信息：
I, [2015-07-15T17:21:28.763518 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:21:30.200600 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:31.454672 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:21:33.702800 #4880]  INFO -- : <<===验证结果:true,delete successfully,,
I, [2015-07-15T17:21:34.596852 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:21:39.817150 #4880]  INFO -- : TestModule03_organizationOver<<<<<<<<<<<<<<<<<<<
I, [2015-07-15T17:21:39.817150 #4880]  INFO -- : TestModule04_userStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:21:40.297178 #4880]  INFO -- : 打开已有ExcelReport...
I, [2015-07-15T17:21:40.297178 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:21:44.534420 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:21:45.826494 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:21:47.124568 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:21:48.296635 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:21:51.699830 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:21:51.699830 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:21:52.983903 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:21:54.988018 #4880]  INFO -- : 输入新加Organization信息...
I, [2015-07-15T17:22:03.128483 #4880]  INFO -- : 


I, [2015-07-15T17:22:03.128483 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:22:03.128483 #4880]  INFO -- : Test04_001:User add
I, [2015-07-15T17:22:03.841524 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:22:05.564623 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:22:07.918757 #4880]  INFO -- : 输入新加User信息...
I, [2015-07-15T17:22:20.610483 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:22:23.881671 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:22:25.156743 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:22:26.452818 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:22:27.611884 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:22:27.851898 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:22:27.851898 #4880]  INFO -- : 审批新加的user...
I, [2015-07-15T17:22:34.283265 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:22:42.625743 #4880]  INFO -- : ===>>开始验证新增User：
I, [2015-07-15T17:22:42.625743 #4880]  INFO -- : 输入用户名userTest...
I, [2015-07-15T17:22:43.941818 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:22:45.212891 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:22:46.404959 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:22:46.656973 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:22:46.656973 #4880]  INFO -- : <<===验证结果:true,add user successfully,login successful,login successful
I, [2015-07-15T17:22:46.656973 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:22:51.812268 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:22:55.987507 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:22:57.299582 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:22:58.607657 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:22:59.792725 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:23:00.018737 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:23:00.767780 #4880]  INFO -- : 


I, [2015-07-15T17:23:00.767780 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:23:00.767780 #4880]  INFO -- : Test04_003:User edit
I, [2015-07-15T17:23:01.461820 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:23:02.875901 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:23:04.204977 #4880]  INFO -- : 查找User...
I, [2015-07-15T17:23:06.865129 #4880]  INFO -- : 编辑用户信息...
I, [2015-07-15T17:23:18.270781 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:23:20.006881 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:23:21.313955 #4880]  INFO -- : 查找User...
I, [2015-07-15T17:23:24.000109 #4880]  INFO -- : ===>>开始验证User信息：
I, [2015-07-15T17:23:30.958507 #4880]  INFO -- : <<===验证结果:true,edit successful,,
I, [2015-07-15T17:23:31.704550 #4880]  INFO -- : 


I, [2015-07-15T17:23:31.704550 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:23:31.704550 #4880]  INFO -- : Test04_002:User delete
I, [2015-07-15T17:23:32.397589 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:23:34.029683 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:23:35.302756 #4880]  INFO -- : 查找User...
I, [2015-07-15T17:23:37.080857 #4880]  INFO -- : 删除User...
I, [2015-07-15T17:23:39.193978 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:23:42.462165 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:23:43.755239 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:23:45.039312 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:23:46.212380 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:23:46.460394 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:23:46.460394 #4880]  INFO -- : 审批删除的user...
I, [2015-07-15T17:23:52.696750 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:24:00.924221 #4880]  INFO -- : ===>>开始验证删除User：
I, [2015-07-15T17:24:00.924221 #4880]  INFO -- : 输入用户名editUserTest...
I, [2015-07-15T17:24:02.223295 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:24:03.518369 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:24:04.687436 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:24:04.848445 #4880]  INFO -- : <<===验证结果:false,username or passwd wrong,login successful,username or passwd wrong
I, [2015-07-15T17:24:04.848445 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:24:06.132519 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:24:07.427593 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:24:08.618661 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:24:08.749669 #4880]  INFO -- : <<===验证结果:false,username or passwd wrong,login successful,username or passwd wrong
I, [2015-07-15T17:24:08.899677 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:24:18.632234 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:24:19.930308 #4880]  INFO -- : 查找User...
I, [2015-07-15T17:24:21.846418 #4880]  INFO -- : <<===验证结果:true,delete user successfully,,
I, [2015-07-15T17:24:23.294501 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:24:24.759584 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:24:26.058659 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:24:28.151778 #4880]  INFO -- : 删除Organization信息...
I, [2015-07-15T17:24:31.430966 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:24:36.616262 #4880]  INFO -- : TestModule04_userOver<<<<<<<<<<<<<<<<<<<
I, [2015-07-15T17:24:36.616262 #4880]  INFO -- : TestModule05_roleStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:24:37.148293 #4880]  INFO -- : 打开已有ExcelReport...
I, [2015-07-15T17:24:37.148293 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:24:41.581546 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:24:42.881621 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:24:44.257700 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:24:45.427766 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:24:48.746956 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:24:48.746956 #4880]  INFO -- : 


I, [2015-07-15T17:24:48.747956 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:24:48.747956 #4880]  INFO -- : Test05_001:Roles add
I, [2015-07-15T17:24:48.747956 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:24:50.265043 #4880]  INFO -- : addRoles输入Roles信息...
I, [2015-07-15T17:24:54.971312 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:24:58.219498 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:24:59.509572 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:25:00.850649 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:25:02.024716 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:25:02.259729 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:25:02.259729 #4880]  INFO -- : 审批新加的Roles...
I, [2015-07-15T17:25:11.430254 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:25:14.735443 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:25:16.027517 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:25:17.396595 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:25:18.556661 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:25:18.787675 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:25:18.787675 #4880]  INFO -- : 确认新加的Roles...
I, [2015-07-15T17:25:22.377880 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:25:23.726957 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:25:26.835135 #4880]  INFO -- : 


I, [2015-07-15T17:25:26.836135 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:25:26.836135 #4880]  INFO -- : Test05_002:Roles edit
I, [2015-07-15T17:25:27.558176 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:25:28.950256 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:25:31.634409 #4880]  INFO -- : 编辑角色信息...
I, [2015-07-15T17:25:35.913654 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:25:37.265731 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:25:39.917883 #4880]  INFO -- : ===>>开始验证Roles信息：
I, [2015-07-15T17:25:41.072949 #4880]  INFO -- : 


I, [2015-07-15T17:25:41.072949 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:25:41.072949 #4880]  INFO -- : Test05_003:Roles delete
I, [2015-07-15T17:25:41.850994 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:25:43.199071 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:25:45.005174 #4880]  INFO -- : 删除Roles...
I, [2015-07-15T17:25:47.046291 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:25:50.428484 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:25:51.727559 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:25:53.046634 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:25:54.221701 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:25:54.454715 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:25:54.454715 #4880]  INFO -- : 审批删除的Roles...
I, [2015-07-15T17:26:02.505175 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:26:05.757361 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:26:07.042435 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:26:08.341509 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:26:09.507576 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:26:09.767590 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:26:09.767590 #4880]  INFO -- : 检查删除的Roles...
I, [2015-07-15T17:26:10.440629 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:26:11.816708 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:26:14.494861 #4880]  INFO -- : 


I, [2015-07-15T17:26:14.494861 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:26:14.494861 #4880]  INFO -- : Test05_004:Roles and user connect
I, [2015-07-15T17:26:14.494861 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:26:15.735932 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:26:17.870054 #4880]  INFO -- : 输入新加Organization信息...
I, [2015-07-15T17:26:26.764563 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:26:28.447659 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:26:30.809794 #4880]  INFO -- : 输入新加User信息...
I, [2015-07-15T17:26:44.096554 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:26:47.339739 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:26:48.628813 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:26:49.954889 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:26:51.106955 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:26:51.347969 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:26:51.347969 #4880]  INFO -- : 审批新加的user...
I, [2015-07-15T17:26:57.662330 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:27:00.819510 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:27:02.095583 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:27:03.460662 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:27:04.644729 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:27:04.871742 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:27:04.871742 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:27:06.189818 #4880]  INFO -- : addRoles输入Roles信息...
I, [2015-07-15T17:27:10.793081 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:27:14.097270 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:27:15.388344 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:27:16.707419 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:27:17.877486 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:27:18.130501 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:27:18.130501 #4880]  INFO -- : 审批新加的Roles...
I, [2015-07-15T17:27:27.278024 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:27:30.646216 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:27:31.930290 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:27:33.245365 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:27:34.423432 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:27:34.652446 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:27:34.652446 #4880]  INFO -- : 确认新加的Roles...
